year,month,day,Location,Temperature,Percipitation,wind_pressure
2020,1,1,Thiruchirappalli,25.15,0.32,99.45
2020,1,2,Thiruchirappalli,25.78,0.05,99.55
2020,1,3,Thiruchirappalli,25.98,0,99.47
2020,1,4,Thiruchirappalli,26.4,0,99.29
2020,1,5,Thiruchirappalli,26.14,0.04,99.29
2020,1,6,Thiruchirappalli,25.28,1.23,99.48
2020,1,7,Thiruchirappalli,24.89,0.87,99.48
2020,1,8,Thiruchirappalli,24.73,0.14,99.42
2020,1,9,Thiruchirappalli,23.8,0,99.42
2020,1,10,Thiruchirappalli,23.54,0,99.44
2020,1,11,Thiruchirappalli,23.13,0,99.51
2020,1,12,Thiruchirappalli,23.83,0,99.43
2020,1,13,Thiruchirappalli,23.76,0,99.32
2020,1,14,Thiruchirappalli,23.18,0,99.32
2020,1,15,Thiruchirappalli,22.91,0,99.37
2020,1,16,Thiruchirappalli,24.08,0,99.36
2020,1,17,Thiruchirappalli,25.19,0.22,99.35
2020,1,18,Thiruchirappalli,25.71,5.11,99.31
2020,1,19,Thiruchirappalli,25.5,0.7,99.39
2020,1,20,Thiruchirappalli,25.29,0,99.48
2020,1,21,Thiruchirappalli,24.75,0.02,99.56
2020,1,22,Thiruchirappalli,25.27,0.02,99.57
2020,1,23,Thiruchirappalli,25.76,0.02,99.49
2020,1,24,Thiruchirappalli,24.42,0,99.51
2020,1,25,Thiruchirappalli,23.82,0,99.52
2020,1,26,Thiruchirappalli,24.37,0,99.42
2020,1,27,Thiruchirappalli,24.72,0,99.39
2020,1,28,Thiruchirappalli,25.65,0,99.42
2020,1,29,Thiruchirappalli,26.08,0,99.47
2020,1,30,Thiruchirappalli,26.22,0,99.39
2020,1,31,Thiruchirappalli,26.27,0,99.31
2020,2,1,Thiruchirappalli,26.23,0,99.37
2020,2,2,Thiruchirappalli,26,0,99.57
2020,2,3,Thiruchirappalli,25.98,0,99.56
2020,2,4,Thiruchirappalli,26.58,0.01,99.4
2020,2,5,Thiruchirappalli,26.76,0.01,99.43
2020,2,6,Thiruchirappalli,26.4,0,99.44
2020,2,7,Thiruchirappalli,26.99,0,99.47
2020,2,8,Thiruchirappalli,27.66,0,99.47
2020,2,9,Thiruchirappalli,27.55,0.01,99.49
2020,2,10,Thiruchirappalli,27.24,0.05,99.47
2020,2,11,Thiruchirappalli,27.34,0.02,99.51
2020,2,12,Thiruchirappalli,27.3,0.05,99.62
2020,2,13,Thiruchirappalli,27.39,0,99.56
2020,2,14,Thiruchirappalli,27.64,0,99.36
2020,2,15,Thiruchirappalli,28.06,0,99.35
2020,2,16,Thiruchirappalli,27.02,0,99.48
2020,2,17,Thiruchirappalli,27.39,0,99.53
2020,2,18,Thiruchirappalli,26.51,0,99.53
2020,2,19,Thiruchirappalli,25.8,0,99.49
2020,2,20,Thiruchirappalli,26.54,0,99.44
2020,2,21,Thiruchirappalli,27.57,0.09,99.53
2020,2,22,Thiruchirappalli,28.74,0.11,99.62
2020,2,23,Thiruchirappalli,28.12,0,99.54
2020,2,24,Thiruchirappalli,28.26,0,99.34
2020,2,25,Thiruchirappalli,29.62,0,99.22
2020,2,26,Thiruchirappalli,29.47,0,99.26
2020,2,27,Thiruchirappalli,29.62,0,99.29
2020,2,28,Thiruchirappalli,29.95,0,99.21
2020,2,29,Thiruchirappalli,29.87,0,99.19
2020,3,1,Thiruchirappalli,30.27,0.01,99.24
2020,3,2,Thiruchirappalli,31.59,0.01,99.26
2020,3,3,Thiruchirappalli,31.99,0.01,99.26
2020,3,4,Thiruchirappalli,32.61,0.01,99.16
2020,3,5,Thiruchirappalli,31.93,0,99.11
2020,3,6,Thiruchirappalli,31.75,0,99.15
2020,3,7,Thiruchirappalli,31.78,0,99.28
2020,3,8,Thiruchirappalli,32.62,0.12,99.25
2020,3,9,Thiruchirappalli,32.51,0,99.15
2020,3,10,Thiruchirappalli,32.36,0,99.2
2020,3,11,Thiruchirappalli,32.23,0,99.21
2020,3,12,Thiruchirappalli,31.75,0,99.32
2020,3,13,Thiruchirappalli,31.19,0,99.32
2020,3,14,Thiruchirappalli,31.92,0,99.21
2020,3,15,Thiruchirappalli,31.78,0,99.19
2020,3,16,Thiruchirappalli,32.49,0,99.28
2020,3,17,Thiruchirappalli,32,0,99.43
2020,3,18,Thiruchirappalli,32.51,0,99.36
2020,3,19,Thiruchirappalli,33,0,99.26
2020,3,20,Thiruchirappalli,33.55,0.03,99.22
2020,3,21,Thiruchirappalli,33.81,0.06,99.2
2020,3,22,Thiruchirappalli,34.36,0,99.19
2020,3,23,Thiruchirappalli,33.53,0,99.16
2020,3,24,Thiruchirappalli,33.08,0,99.03
2020,3,25,Thiruchirappalli,33.19,0,99.04
2020,3,26,Thiruchirappalli,32.65,0,99.09
2020,3,27,Thiruchirappalli,32.52,0,99.29
2020,3,28,Thiruchirappalli,33.08,0,99.18
2020,3,29,Thiruchirappalli,33,0,99.1
2020,3,30,Thiruchirappalli,32.07,0,99.15
2020,3,31,Thiruchirappalli,32.01,0,99.2
2020,4,1,Thiruchirappalli,32.72,0,99.16
2020,4,2,Thiruchirappalli,33.59,0,99.04
2020,4,3,Thiruchirappalli,33.63,0,99.11
2020,4,4,Thiruchirappalli,34.22,0.16,99.19
2020,4,5,Thiruchirappalli,33.55,1.81,99.26
2020,4,6,Thiruchirappalli,33.94,0.12,99.23
2020,4,7,Thiruchirappalli,32.86,0.72,99.15
2020,4,8,Thiruchirappalli,34.01,1.26,99.16
2020,4,9,Thiruchirappalli,33.27,4.48,99.15
2020,4,10,Thiruchirappalli,32.9,0.74,99.22
2020,4,11,Thiruchirappalli,33.29,0.01,99.32
2020,4,12,Thiruchirappalli,33.31,0,99.26
2020,4,13,Thiruchirappalli,33.89,0,99.1
2020,4,14,Thiruchirappalli,33.96,0,99.14
2020,4,15,Thiruchirappalli,34.59,0,99.23
2020,4,16,Thiruchirappalli,35.32,0.02,99.1
2020,4,17,Thiruchirappalli,35.37,0.14,99.04
2020,4,18,Thiruchirappalli,35.76,0.08,99.07
2020,4,19,Thiruchirappalli,34.8,0.46,99.05
2020,4,20,Thiruchirappalli,34.79,0.09,99.05
2020,4,21,Thiruchirappalli,35.84,0,99.06
2020,4,22,Thiruchirappalli,36.49,0.01,99
2020,4,23,Thiruchirappalli,36.81,0.73,98.95
2020,4,24,Thiruchirappalli,35.25,0.06,98.95
2020,4,25,Thiruchirappalli,33.98,0.66,98.92
2020,4,26,Thiruchirappalli,31.25,2.78,99.06
2020,4,27,Thiruchirappalli,32.87,2.8,99.09
2020,4,28,Thiruchirappalli,31.69,1.64,99.08
2020,4,29,Thiruchirappalli,32.56,1.82,99.03
2020,4,30,Thiruchirappalli,32.58,0.15,99.1
2020,5,1,Thiruchirappalli,35.31,0.08,98.98
2020,5,2,Thiruchirappalli,35.59,0.57,98.84
2020,5,3,Thiruchirappalli,35.3,0.68,98.86
2020,5,4,Thiruchirappalli,35.89,0,98.95
