year,month,day,Allsky_Surfce_UV_INDEX,Temperature,Percipitation,Wind_pressure
1981,1,2,-999,25.81,0.14,98.71
1981,1,3,-999,25.79,0.07,98.72
1981,1,4,-999,25.51,0.01,98.77
1981,1,5,-999,24.59,0.38,98.83
1981,1,6,-999,24.24,0.33,98.82
1981,1,7,-999,25.03,0,98.71
1981,1,8,-999,26.43,0,98.67
1981,1,9,-999,25.8,1.19,98.68
1981,1,10,-999,25.62,0.16,98.82
1981,1,11,-999,26.03,0,98.87
1981,1,12,-999,26.21,0,98.96
1981,1,13,-999,26.1,0.03,98.93
1981,1,14,-999,25.81,0.04,98.88
1981,1,15,-999,25.05,5.7,98.93
1981,1,16,-999,25.1,3.56,99
1981,1,17,-999,25.58,0.35,98.99
1981,1,18,-999,25.81,0,98.84
1981,1,19,-999,24.73,0,98.77
1981,1,20,-999,26.23,0,98.87
1981,1,21,-999,26.07,0,98.83
1981,1,22,-999,25.3,0.01,98.8
1981,1,23,-999,25.99,0.01,98.72
1981,1,24,-999,26.51,0,98.72
1981,1,25,-999,27.15,0.02,98.82
1981,1,26,-999,27.12,0.01,98.98
1981,1,27,-999,25.79,0.34,99.02
1981,1,28,-999,25.12,0,99.02
1981,1,29,-999,26.01,0,98.94
1981,1,30,-999,25.44,0,98.82
1981,1,31,-999,25.94,0,98.82
1981,2,1,-999,26.26,0,98.84
1981,2,2,-999,26.93,0,98.79
1981,2,3,-999,26.41,0,98.82
1981,2,4,-999,26.69,0,98.79
1981,2,5,-999,26.78,0,98.91
1981,2,6,-999,28.08,0.19,98.91
1981,2,7,-999,28.94,0,98.75
1981,2,8,-999,29.19,0.01,98.67
1981,2,9,-999,28.51,0,98.65
1981,2,10,-999,30.15,0,98.59
1981,2,11,-999,29.5,0,98.54
1981,2,12,-999,29.45,0.12,98.58
1981,2,13,-999,30.1,0.06,98.56
1981,2,14,-999,30.29,0,98.61
1981,2,15,-999,29.15,0,98.65
1981,2,16,-999,28.26,0,98.72
1981,2,17,-999,26.87,0.12,98.8
1981,2,18,-999,26.69,0,98.74
1981,2,19,-999,26.82,0,98.77
1981,2,20,-999,24.8,16.63,98.8
1981,2,21,-999,25.87,0,98.67
1981,2,22,-999,26.45,0,98.6
1981,2,23,-999,26.69,0,98.72
1981,2,24,-999,27.65,0.14,98.81
1981,2,25,-999,27.98,0.11,98.83
1981,2,26,-999,27.65,0,98.77
1981,2,27,-999,28.03,0,98.76
1981,2,28,-999,28.71,0,98.75
1981,3,1,-999,29.49,0,98.82
1981,3,2,-999,30.26,0,98.8
1981,3,3,-999,29.6,0,98.84
1981,3,4,-999,29.73,0,98.9
1981,3,5,-999,29.43,0,98.89
1981,3,6,-999,28.87,0.01,98.91
1981,3,7,-999,30.67,0,98.9
1981,3,8,-999,31.89,0,98.79
1981,3,9,-999,31.94,1.11,98.73
1981,3,10,-999,30.83,5.22,98.73
1981,3,11,-999,31.15,0.86,98.74
1981,3,12,-999,30.36,3.76,98.75
1981,3,13,-999,30.28,0.63,98.73
1981,3,14,-999,31.01,0.1,98.78
1981,3,15,-999,31.05,0.37,98.85
1981,3,16,-999,29.23,0.02,98.74
1981,3,17,-999,29.77,0.31,98.55
1981,3,18,-999,32.55,0.02,98.46
1981,3,19,-999,31.87,0,98.47
1981,3,20,-999,33.57,0,98.44
1981,3,21,-999,32.47,0.04,98.36
1981,3,22,-999,34.48,0.07,98.28
1981,3,23,-999,34.21,0.61,98.19
1981,3,24,-999,34.12,3.94,98.22
1981,3,25,-999,34.18,0.48,98.26
1981,3,26,-999,34.19,1.8,98.3
1981,3,27,-999,31.46,11.58,98.32
1981,3,28,-999,31.01,0.05,98.37
1981,3,29,-999,30.81,0.01,98.48
1981,3,30,-999,31.47,0,98.47
1981,3,31,-999,33.67,0.06,98.32
1981,4,1,-999,35.39,0.5,98.23
1981,4,2,-999,34.73,2.77,98.36
1981,4,3,-999,34.38,0.04,98.39
1981,4,4,-999,35.01,0,98.28
1981,4,5,-999,35.18,0,98.19
1981,4,6,-999,36.26,0.02,98.2
1981,4,7,-999,35.4,0,98.25
1981,4,8,-999,33.61,0,98.32
1981,4,9,-999,32.77,0,98.31
1981,4,10,-999,33.46,0,98.19
1981,4,11,-999,34.67,0.06,98.19
1981,4,12,-999,33.01,0.88,98.29
1981,4,13,-999,32.35,0.45,98.36
1981,4,14,-999,33.58,0.64,98.27
1981,4,15,-999,35.94,1.58,98.26
1981,4,16,-999,35.69,2.33,98.24
1981,4,17,-999,36.26,0.01,98.19
1981,4,18,-999,35.71,0.6,98.34
1981,4,19,-999,36.08,0.44,98.46
1981,4,20,-999,34.04,2.09,98.47
1981,4,21,-999,35.13,0,98.32
1981,4,22,-999,35.9,0,98.27
1981,4,23,-999,35.76,0.06,98.35
1981,4,24,-999,34.48,0,98.54
1981,4,25,-999,34.15,2.08,98.54
1981,4,26,-999,34.02,0.92,98.51
1981,4,27,-999,33.98,0.28,98.51
1981,4,28,-999,34.39,0.26,98.45
1981,4,29,-999,35.47,0.38,98.32
1981,4,30,-999,32.5,0.32,98.41
1981,5,1,-999,34.09,0.3,98.55
1981,5,2,-999,34.35,0,98.51
1981,5,3,-999,32.29,4.48,98.43
1981,5,4,-999,29.18,3.44,98.46
1981,5,5,-999,32.02,1.72,98.35
1981,5,6,-999,28.37,31.82,98.25
1981,5,7,-999,31.5,0.73,98.14
