year,month,day,Allsky_Surface_UV_INDEX,Temperature,Precipitation,wind_pressure
2000,1,1,-999,22.36,0,98.25
2000,1,2,-999,22.45,0,98.22
2000,1,3,-999,22.75,0,98.17
2000,1,4,-999,22.48,0,98.16
2000,1,5,-999,23.62,0,98.12
2000,1,6,-999,23.65,0.41,98.12
2000,1,7,-999,23.76,0.6,98.13
2000,1,8,-999,24.33,0.27,98.11
2000,1,9,-999,24.04,0.36,98.11
2000,1,10,-999,24.83,0.73,98.1
2000,1,11,-999,25.01,0.23,98.12
2000,1,12,-999,25.37,2.72,98.15
2000,1,13,-999,25.05,0.65,98.16
2000,1,14,-999,25.46,0,98.12
2000,1,15,-999,24.26,0,98.2
2000,1,16,-999,24.55,0,98.22
2000,1,17,-999,24.8,0,98.31
2000,1,18,-999,24.53,0,98.42
2000,1,19,-999,24.08,0,98.41
2000,1,20,-999,24.74,0,98.29
2000,1,21,-999,24.23,0,98.36
2000,1,22,-999,22.98,0,98.42
2000,1,23,-999,23.16,0,98.38
2000,1,24,-999,23.9,0,98.4
2000,1,25,-999,24.87,0,98.45
2000,1,26,-999,24.12,0,98.44
2000,1,27,-999,24.42,0,98.39
2000,1,28,-999,25.64,0,98.35
2000,1,29,-999,26.57,0,98.42
2000,1,30,-999,26.19,0,98.5
2000,1,31,-999,25.55,0,98.5
2000,2,1,-999,24.37,0,98.37
2000,2,2,-999,25.81,0,98.3
2000,2,3,-999,25.98,3.8,98.39
2000,2,4,-999,25.53,18.13,98.32
2000,2,5,-999,26.03,3.22,98.22
2000,2,6,-999,25.77,37.14,98.19
2000,2,7,-999,26.58,6.14,98.15
2000,2,8,-999,27.6,0.01,98.08
2000,2,9,-999,27.12,0,98.18
2000,2,10,-999,26.87,0,98.24
2000,2,11,-999,26.91,4.54,98.24
2000,2,12,-999,25.5,1.61,98.19
2000,2,13,-999,25.42,2.99,98.1
2000,2,14,-999,25.46,0.01,98.15
2000,2,15,-999,26.17,0,98.17
2000,2,16,-999,27.14,0,98.21
2000,2,17,-999,26.2,0,98.1
2000,2,18,-999,27.07,0,98.07
