year,month,day,Temperature,ALLSKY_SFC_UV_INDEX,Precipitation,wind_pressure
1981,2,1,22.9,-999,0,98.49
1981,2,2,23.45,-999,0,98.43
1981,2,3,23.44,-999,0,98.43
1981,2,4,23.7,-999,0,98.38
1981,2,5,23.99,-999,0.05,98.51
1981,2,6,24.83,-999,15.35,98.51
1981,2,7,25.28,-999,0.49,98.37
1981,2,8,25.46,-999,0.08,98.3
1981,2,9,26.09,-999,0.07,98.27
1981,2,10,26.94,-999,0,98.26
1981,2,11,25.8,-999,0,98.21
1981,2,12,25.23,-999,0,98.26
1981,2,13,26.03,-999,0.4,98.24
1981,2,14,26.48,-999,0,98.3
1981,2,15,26.4,-999,0,98.28
1981,2,16,24.87,-999,0,98.35
1981,2,17,24.3,-999,0,98.42
1981,2,18,24.05,-999,0,98.38
1981,2,19,23.92,-999,0,98.4
1981,2,20,23.73,-999,3.28,98.4
1981,2,21,24.5,-999,0,98.27
1981,2,22,25.04,-999,0,98.2
1981,2,23,25.19,-999,0,98.33
1981,2,24,24.85,-999,18.01,98.43
1981,2,25,27.24,-999,1.58,98.45
1981,2,26,26.38,-999,0,98.42
1981,2,27,25.99,-999,0,98.41
1981,2,28,26.3,-999,0,98.41
1981,3,1,27.15,-999,0,98.47
1981,3,2,27.49,-999,0,98.43
1981,3,3,27.12,-999,0,98.44
1981,3,4,26.94,-999,0,98.52
1981,3,5,24.83,-999,0,98.51
1981,3,6,26.22,-999,0,98.49
1981,3,7,28.08,-999,0,98.49
1981,3,8,28.98,-999,0,98.42
1981,3,9,28.7,-999,0.69,98.39
1981,3,10,29,-999,0.67,98.39
1981,3,11,28.64,-999,0.62,98.41
1981,3,12,28.77,-999,0.68,98.39
1981,3,13,28.62,-999,0,98.35
1981,3,14,29.51,-999,0.51,98.39
1981,3,15,28.17,-999,12.51,98.46
1981,3,16,28.26,-999,1.09,98.34
1981,3,17,29.01,-999,8.74,98.19
1981,3,18,30.11,-999,0,98.13
1981,3,19,30.4,-999,0,98.12
1981,3,20,30.47,-999,0.37,98.12
1981,3,21,30.4,-999,1.8,98.01
1981,3,22,30.46,-999,2.28,97.96
1981,3,23,29.64,-999,1.59,97.91
1981,3,24,31.12,-999,0.73,97.92
1981,3,25,31.56,-999,0.09,97.94
1981,3,26,30.63,-999,7.33,97.98
1981,3,27,28.81,-999,15.34,97.98
1981,3,28,29.07,-999,1.4,98.03
1981,3,29,28.95,-999,0.17,98.15
1981,3,30,29.65,-999,1.57,98.14
1981,3,31,30.89,-999,3.96,98.02
1981,4,1,31.97,-999,0.02,97.94
1981,4,2,31.22,-999,3.83,98.06
1981,4,3,29.51,-999,5.46,98.1
1981,4,4,31.61,-999,0.46,98
1981,4,5,31.16,-999,4.92,97.92
1981,4,6,31.52,-999,0.46,97.91
1981,4,7,31.62,-999,0.15,97.93
1981,4,8,30.52,-999,0.5,97.99
1981,4,9,30.13,-999,0.03,98
1981,4,10,31.63,-999,0.01,97.87
1981,4,11,31.46,-999,8.03,97.87
1981,4,12,27.17,-999,31.48,97.98
1981,4,13,26.51,-999,53.29,98.09
1981,4,14,27.12,-999,2.33,98.1
1981,4,15,26.97,-999,0.21,98.06
1981,4,16,28.06,-999,0.01,98.04
1981,4,17,26.91,-999,0,98.03
1981,4,18,27.45,-999,0.14,98.15
1981,4,19,29.02,-999,0.01,98.25
1981,4,20,28.83,-999,0.71,98.27
1981,4,21,29.11,-999,0.01,98.11
1981,4,22,29.38,-999,0,98.07
1981,4,23,29.91,-999,0.15,98.08
1981,4,24,30.1,-999,0.01,98.23
1981,4,25,30.01,-999,6.86,98.22
1981,4,26,29.68,-999,0.35,98.21
1981,4,27,28.06,-999,17.8,98.21
1981,4,28,29.23,-999,1.48,98.16
1981,4,29,29.96,-999,0.72,98.04
1981,4,30,29.26,-999,1.34,98.08
1981,5,1,28.84,-999,5.73,98.25
1981,5,2,29.23,-999,0.22,98.23
1981,5,3,28.51,-999,1.06,98.15
1981,5,4,27.25,-999,18.77,98.16
1981,5,5,25.72,-999,4.86,98.14
1981,5,6,26.71,-999,15.78,98
1981,5,7,26.83,-999,2.93,97.93
1981,5,8,27.21,-999,2.97,97.82
1981,5,9,27.27,-999,0.93,97.87
1981,5,10,26.16,-999,24.98,97.89
1981,5,11,25.76,-999,22.05,97.93
1981,5,12,25.22,-999,131.28,97.94
1981,5,13,26.67,-999,3.11,97.84
1981,5,14,26.48,-999,0,97.96
1981,5,15,25.22,-999,0,97.96
1981,5,16,25.95,-999,0.53,97.81
1981,5,17,26.36,-999,0.04,97.86
1981,5,18,25.36,-999,0.99,97.97
1981,5,19,26.15,-999,0.02,97.95
1981,5,20,25.96,-999,0.01,98
1981,5,21,26.46,-999,0,97.93
1981,5,22,26.8,-999,0.02,98.01
1981,5,23,26.54,-999,0.01,98.03
1981,5,24,27.15,-999,0,97.87
1981,5,25,27.41,-999,0.01,97.87
1981,5,26,27.09,-999,0,97.93
1981,5,27,27.65,-999,0.35,97.87
